product,marketing_name,brand,cpu,cpu_make,device,memory_mb
5024F, Alcatel 1S ,TCL,SC9863A,Spreadtrum,Faraday,3072
Memopad_T4,Memopad_T4,Arknikko,A133,Allwinner,Memopad_T4,2048
FFFTAB10b1,FFFTAB10b1,FFFSMARTLIFE,RK3566,Rockchip,FFFTAB10b1,3072
KTC_ICE_4K_NA_21V2,ICE,ICE,t31,Mediatek,zhongshan,2048
TURBO_X_4K_ATV2,EUROPE,TURBO-X,t31,Mediatek,guandu,2048
A5860,Lenovo A5860,Lenovo,MT6735M,Mediatek,A5860,2048
T771H,TCL 40 R 5G,TCL,MT6833,Mediatek,Levin,4096
CPH1823,F9,OPPO,MT6771,Mediatek,CPH1823,4096
5030E_TCL,TCL L10+,TCL,SC9863A,Spreadtrum,Jakarta,3072
a13xue,Galaxy A13 5G,samsung,MT6833V/NZA,Mediatek,a13x,4096
LH6n-RU,TECNO POVA Neo 3,TECNO,MT6769V/CZ,Mediatek,TECNO-LH6n,4096
Digi_K1_EEA,Digi K1,DIGI,MT6763,Mediatek,Digi_K1,6144
KP1_S10,KP1_S10,INSYS,T618,Spreadtrum,KP1_S10,4096
MULTYNET_4K_ATV3,Pakistan,MULTYNET,t32,Mediatek,marina,2048
x1qsqw,Galaxy S20 5G,samsung,SM8250,Qualcomm,x1q,12288
6102H_EEA,TCL 306,TCL,MT6761,Mediatek,Cruze_Lite_S,3072
UTBook,UTBook_EEA,AWOW,A133,Allwinner,UTBook,4096
A21S_EEA,A21S,AOYODKG,MT6761,Mediatek,A21S,3072
T40Pro_M_ROW,T40Pro_M_ROW,Teclast,MT8183,Mediatek,T40Pro_M_ROW,8192
QTab_Y2,QTab_Y2,QMobile,SC9863A,Spreadtrum,QTab_Y2,3072
AV-11NT510,AV-11NT510,JVC,SC9863A,Spreadtrum,AV-11NT510,2048
9466X4_EEA,TCL NXTPAPER 11,TCL,MT8788,Mediatek,Eternals11,4096
5047I,U5 HD,TCL,MT6737,Mediatek,BUZZ6E,2048
a16dwgl_00400,Desire 630 dual sim,htc,MSM8928,Qualcomm,htc_a16dwgl,2048
P3Mini_EEA,T20Mini,DOOGEE,T606,Spreadtrum,P3Mini,4096
TechPad_1032s,TechPad_1032s,TechPad,MT8167B,Mediatek,TechPad_1032s,2048
HLTE300E,HLTE300E_ 02,Hisense,MSM8937,Qualcomm,HS8937QC,3072
Next_Infinity_Pro,CloudFone Next Infinity Pro,CloudFone,MSM8937,Qualcomm,Next_Infinity_Pro,3072
Astro_Slide_5G_Transformer_EEA,Astro_Slide_5G_Transformer,Planet,MT6873,Mediatek,Astro,8192
SCG22_jp_kdi,Galaxy Z Fold5,samsung,SM8550,QTI,SCG22,12288
X663B-OP,Infinix NOTE 11,Infinix,MT6769,Mediatek,Infinix-X663B,4096
X697-EU,NOTE 11 Pro,Infinix,MT6781V/CD,Mediatek,Infinix-X697,8192
L8-T01_EEA,L8-T01_EEA,PRITOM,T310,Spreadtrum,L8-T01_EEA,4096
2042,Cool 12A,coolpad,T310,Spreadtrum,2042,3072
PD2057,V2057A,vivo,MT6853V/ZA,Mediatek,PD2057,8192
meizu_16_RU,16,Meizu,SDM710,Qualcomm,16,6144
j4ltejx,Galaxy J4,samsung,Exynos 7570,Samsung,j4lte,2048
m209n_att_us,LG K10,lge,MSM8909,Qualcomm,m209n,1536
CMX_UHD_ATV,Mexico,Caixun,T22,MStar,yeongdeungpo,1536
woods_windtre_fn,Moto E (4),motorola,MT6737,Mediatek,woods_fn,2048
Moby-M100,Moby-M100,Ingenico,MT8167A,Mediatek,Moby-M100,2048
Digiquest_4K_ATV, Italy,Digiquest,T22,MStar,yeongdeungpo,1536
CMCC_P839V50,Q7,ZTE,MSM8939,Qualcomm,CMCC_P839V50,2048
Klap_S1_EEA,Klap_S1_EEA,G-TiDE,SC7731E,Spreadtrum,Klap_S1_EEA,2048
CN_P653S06,ZTE 8012N,ZTE,MT6853V/ZA,Mediatek,P653S06,4096
IRA_DUO,IRA_DUO,Wishtel,SC9863A,Spreadtrum,IRA_DUO,3072
gracelteldu,Galaxy Note7 ,samsung,Exynos 8890,Samsung,gracelte,4096
PMT3101_4G,PMT3101_4G,Prestigio,MT8735M,Mediatek,CF10A1L,2048
KWSA80K,KWSA80K,KENWOOD,SDM630,Qualcomm,XP8800,4096
RMO-NX3,HONOR Magic5 Lite 5G,HONOR,SM6375,QTI,HNRMO-Q,6144
zenltezc,Galaxy S6 Edge+,samsung,Exynos 7420,Samsung,zenltechn,4096
9001D,9001D,TCL,MSM8909,Qualcomm,Pixi4-6_4G,2048
stb_catv_cnmuhd,SH950C-CM,CnM,BG2Q4K,Marvell,stb_catv_cnmuhd,2048
F16, Hisense F16,Hisense,MT6739CH,Mediatek,HS6739MT,2048
malta_lnv,Lenovo K12,motorola,MT6762,Mediatek,malta,2048
5164D,TCL 305i,TCL,MT6739WW,Mediatek,Corolla,2048
mlv7n_kt_kr_v,LG X500,lge,MT6750,Mediatek,mlv7n,2048
lt01ltexx,Galaxy Tab3 8.0,samsung,Exynos 4212,Samsung,lt01lte,1536
ClickTabDSh18,ClickTabDSh18,Envizen,MT8163A,Mediatek,ClickTabDSh18,2048
Flare_S7,Flare S7,Cherry_Mobile,MT6739CH,Mediatek,Flare_S7,2048
AGM_H5_PRO_RU,AGM_H5_PRO,AGM,MT6769,Mediatek,AGM_H5_PRO,8192
STB_ELISA_B866V2F01,B866V2F01,Elisa,AMLS905Y4,Amlogic,STB_ELISA_B866V2F01,3072
r8qxeea,Galaxy S20 FE 5G,samsung,SM8250,Qualcomm,r8q,6144
renoir_global,Mi 11 Lite 5G,Xiaomi,SM7250,Qualcomm,renoir,6144
onc_ru,Redmi 7,xiaomi,SDM632,Qualcomm,onc,3072
P840S01_GLOBAL_CHANNEL,BV0850,ZTE,MSM8940,Qualcomm,P840S01,2048
X9007,X9007,OPPO,MSM8974AB,Qualcomm,X9007,2048
Newcastle,REVVL V,T-Mobile,MT6762,Mediatek,Newcastle,3072
Pure_View,Pure_View,BLU,MT6753,Mediatek,P0050WW,3072
C72_EEA,C72_EEA,CHAINWAY,MT6765,Mediatek,C72,3072
IRC200,IRC200,Inrico,MT6761,Mediatek,IRC200,3072
A200Pro_EEA,A200 Pro,Blackview,MT6789V/CD,Mediatek,A200Pro,12288
BLU_Vivo_XL2,BLU_Vivo_XL2,BLU,MT6737T,Mediatek,BLU_Vivo_XL2,3072
T104_64GB,T104_64GB,Qubo,SC9863A,Spreadtrum,T104_64GB,4096
Arizona_EEA,Lenovo A6 Note,Lenovo,MT6762,Mediatek,Lenovo_A6_Note,2048
g0qxxx,Galaxy S22+,samsung,SM8450,QTI,g0q,8192
E5643,Xperia M5 Dual,Sony,MT6795,Mediatek,E5643,3072
121906-01,Ranger 5,Spectra,SDM660,Qualcomm,bcat,4096
HLTE230E_10,Hisense H40 Lite,Hisense,SC9863A,Spreadtrum,SC9863A,3072
LS-5503,LS-5503,LYF,MSM8939,Qualcomm,P839F50,2048
S11_lite,S11 lite,GIONEE,MSM8937,Qualcomm,GIONEE_SW17G15,4096
T810,T810D,positivo,T310,Spreadtrum,T810M,4096
Kogan_4K_ATV3,Kogan G5,Kogan,t32,Mediatek,marina,2048
1914,vivo 1914,vivo,SDM439,Qualcomm,1811,3072
Wildfire_E_plus,Wildfire E plus,HTC,MT6739WA,Mediatek,Wildfire_E_plus,2048
SCV43_jp_kdi,Galaxy A30,KDDI,Exynos 7904,Samsung,SCV43,4096
vip6102w_mill,ONEtv,ARRIS,BCM7271,Broadcom,vip6102w,2048
SCG17_jp_kdi,B4,samsung,SM8475,QTI,SCG17,8192
M8_4G_T3,M8 4G,Multilaser,MT8768A,Mediatek,ML_SO4J_M8_4G_T3,2048
N1_Pro,N1 Pro,JMGO,t31,Mediatek,songni,2048
G6,G6,FiGi,SC9863A,Mediatek,G6,3072
PD2121C,V2121A,vivo,MT6891,Mediatek,PD2121,8192
X55_Pro_4G,X55_Pro_4G,CORN,MT6739WA,Mediatek,X55_Pro_4G,2048
HLTE203T,A5 Pro,Hisense,T610,Spreadtrum,HLTE203T,4096
N3,Nexttab N3,NextLearning,Exynos 5410,Samsung,N3,4096
A16pro,A16pro,aigo,MT8183,Mediatek,A16pro,4096
JPT_P002,ZenPad 7.0 (Z370KL),asus,MSM8909,Qualcomm,P002_1,2048
M002W-2T,M002W-2T,NECNON,A133,Allwinner,M002W-2T,2048
gts9xser,Galaxy Tab S9 5G,samsung,SM8550,QTI,gts9,8192
ANE-LX1RU,P20 lite,HUAWEI,KIRIN659,HiSilicon,HWANE,4096
lt01ltedv,Galaxy Tab3 8.0,samsung,Exynos 4212,Samsung,lt01lte,1536
gts7xllitewifizc,Galaxy Tab S7 FE,samsung,SM7225,Qualcomm,gts7xllitewifi,4096
Eagle_806,Eagle 806,Kruger_Matz,T310,Spreadtrum,Eagle_806,3072
EC50S_RU,EC50,Zebra,SDM660,Qualcomm,EC50,3072
sweet_id2,Redmi Note 11 Pro 2023,Redmi,SM7150,Qualcomm,sweet,6144
a7y18ltexx,Galaxy A7 (2018),samsung,Exynos 7885,Samsung,a7y18lte,4096
Z519,Z519,PLUM,MT6580,Mediatek,Z519,2048
HP4027-Thomson,LEAP-S1,Thomson,AMLS905X2,Amlogic,LAS,2048
KKRTK2851DVB_EDENWOOD,EDENWOOD 4K Android TV,EDENWOOD,RTD2851A,Realtek,kenton,1536
HT10,HT10,ARBOR,MT8788,Mediatek,HT10,4096
2132i,V2132,vivo,MT6893,Mediatek,2132,8192
e3n_acer_byoc,Liquid E3,acer,MT6589,Mediatek,acer_e3n,2048
ATPA801,ATPA801,Arirang,MT8765A,Mediatek,ATPA801,3072
sisleylw,S60,Lenovo,MSM8916,Qualcomm,sisleylw,2048
BIT_PE_P840F13,ZTE BLADE A0621,ZTE,MSM8940,Qualcomm,P840F13,2048
TF10MK1_i_Buddie2,TF10MK1,i-Buddie,MT8163,Mediatek,TF10MK1_3,2048
anderson_gw_i3_pt,HP Engage One Pro AIO System,hp,i3-10100E,Intel,anderson_gw_i3,16384
dream2ltexx,Galaxy S8+,samsung,Exynos 8895,Samsung,dream2lte,4096
CPH2159RU,CPH2159,OPPO,SM7125,Qualcomm,OP4F25L1,8192
MOXA7,MOXA7,MANTRA,MT8765B,Mediatek,MOXA7,2048
TERRA_PAD_1006_V2,TERRA_PAD_1006_V2,TERRA,MT6762,Mediatek,TERRA_PAD_1006_V2,4096
MC33,MC330K,Zebra,APQ8056,Qualcomm,MC33C,4096
S566_RU,Xenium S566,Philips,SC9863A,Spreadtrum,S566,3072
m12dd,Galaxy M12,samsung,Exynos 850,Samsung,m12,3072
ALP-TL00,Mate 10,HUAWEI,KIRIN970,HiSilicon,HWALP,4096
ELUGA_A3_Pro,ELUGA A3 Pro,Panasonic,MT6753,Mediatek,ELUGA_A3_Pro,3072
BV6800Pro_RU,BV6800Pro_RU,Blackview,MT6750T,Mediatek,BV6800Pro_RU,4096
MSD9602SA,JVC,JVC,t32,Mediatek,expo,2048
b1_lgu_kr,G Pro2,lge,MSM8974AA,Qualcomm,b1,3072
F04G,F-04G,DOCOMO,MSM8994,Qualcomm,F04G,3072
SE1,SE1,KONKA,MT6739CW,Mediatek,SE1,2048
MTCMSD6886US_Truvii,Truvii,Truvii,T22,MStar,seocho,1536
T5_Pro,T5 Pro,HOTWAV,MT6761,Mediatek,T5_Pro,4096
6159K_EEA,TCL 20B,TCL,MT6762d,Mediatek,Prague,4096
Primo_RX7,Primo RX7,WALTON,MT6763,Mediatek,Primo_RX7,4096
TTBKB10-A1,TTBKB10-A1,TanoshiScholar,MT8167A,Mediatek,TTBKB10-A1,2048
EP821C30HW,EP821,HUAWEI,KIRIN650,HiSilicon,EP821,3072
P633F10,ZTE 8140N,ZTE,MT6833P,Mediatek,P633F10,4096
WPX10H99GR,WALPAD 10H Pro,WALTON,MT6789,Mediatek,WALPAD_10H_Pro,8192
NX402,NX40X,nubia,APQ8064,Qualcomm,NX402,2048
A5700,A5700,PACKARD_BELL,MT6739WA,Mediatek,A5700,2048
Neo_7,Sparx Neo 7,Sparx,MT6762G,Mediatek,Neo_7,3072
GN9006,GN9006,GiONEE,MT6752,Mediatek,GN9006,2048
VEGA_IM-A860S,IM-A860S,VEGA,APQ8064,Qualcomm,ef51s,2048
JTTAB035,JTTAB035,Goldtech,A133,Allwinner,JTTAB035,2048
A102OP,A55s 5G,OPPO,SM4350,Qualcomm,OP52EBL1,4096
bbf100japan,BlackBerry KEY2,blackberry,SDM660,Qualcomm,bbf100,6144
LIV_3S,LIV_3S,YEZZ,SC7731E,Spreadtrum,LIV_3S,2048
H5312LTE,NOTE 4,Infinix,MT6753,Mediatek,Infinix-X572,2048
ALFA_8TX,ALFA_8TX,HOMETECH,MT8168B,Mediatek,ALFA_8TX,3072
ComioS1,COMIO S1,COMIO,MT6737,Mediatek,ComioS1,2048
MYA-TL10,荣耀畅玩6,HONOR,MT6737T,Mediatek,HWMYA-L6737,2048
CAM-TL00H,荣耀畅玩5A,HONOR,Hi6220,HiSilicon,HNCAM-H,2048
z3sxxx,Galaxy S20 Ultra 5G,samsung,Exynos 990,Samsung,z3s,12288
ginna_retail,moto e,motorola,SDM632,Qualcomm,ginna,2048
Net_Max_Go,Net_Max_Go,KRONO,MT8321,Mediatek,Net_Max_Go,2048
YT2_10_prc_call,YOGA Tablet Pro-1050LC/Yoga Tablet 2,Lenovo,Z3745,Intel,YT2,2048
ZT8332_3,ZT8332_3,zyrex,SC9863A,Spreadtrum,ZT8332_3,4096
EV-A-133-1,EV-A-133-1,EVOO,MT8163,Mediatek,EV-A-133-1,2048
p3quew,Galaxy S21 Ultra 5G,samsung,SM8350,Qualcomm,p3q,12288
EA07B00001H,EA07B00001H,PREMIO,SC9832E,Spreadtrum,EA07B00001H,2048
V610,NeXT M2,TCL,MT6737,Mediatek,VFD610,1536
BODRUM_United,Android TV,United,t32,Mediatek,finch,1536
Hyundai_Eternity_G57L,Hyundai_Eternity_G57,Hyundai,MT6739WM,Mediatek,HT2G57L,2048
5053A,Alcatel 3,TCL,SDM439,Qualcomm,Gauss,3072
RMX3350,真我GT Neo 闪速版,realme,MT6893,Mediatek,RE5469,8192
j3popltelra,Galaxy J3,samsung,MSM8917,Qualcomm,j3popltelra,1536
NASA,NASA,ADVAN,SC9832E,Spreadtrum,ADVAN_NASA,2048
Plane_1525_3G,DIGMA Plane 1525 3G PS1137MG,DIGMA,MT8321,Mediatek,PS1137MG,2048
LND-L29RU,Honor 7C,HONOR,SDM450,Qualcomm,HWLND-Q,3072
SLA-TL10,华为畅享7,HUAWEI,MSM8917,Qualcomm,HWSLA-Q,3072
TB128FU_RU,Lenovo Tab M10 Plus 3rd Gen,Lenovo,SM6125,Qualcomm,TB128FU,4096
GS5_PRO_EEA,GS5 PRO,Gigaset,MT6769Z,Mediatek,GS5_PRO,6144
gts7lwifitur,Galaxy Tab S7,samsung,SM8250Pro,Qualcomm,gts7lwifi,6144
htc_bre_dugl_00400,breeze,htc,MT6739WW,Mediatek,htc_breeze_dugl,2048
fog_id,Redmi 10C,Redmi,SM6225,QTI,fog,4096
v12enlite,VIEW,WIKO,MSM8917,Qualcomm,v12enlite,3072
BRAVIA_VH2_M_JP,BRAVIA VH2,Sony,MT5835,Mediatek,BRAVIA_VH2,4096
NEXT_CTA,NEXT Crew Terminal - AutoChip,PANASONIC,MSM8996,Qualcomm,NEXT820,4096
anglee,"Mi Laser Projector 150""",MI,AMLT962X,Amlogic,anglee,2048
XQ-BQ42,Xperia 5 III,Sony,SM8350,Qualcomm,XQ-BQ42,8192
Y6C,Y6 C,DOOGEE,MT6737,Mediatek,Y6C,2048
9001X,9001X,TCL,MSM8909,Qualcomm,Pixi4-6_4G,2048
SPU-A05-SWG,SPU-A05-SWG,Panasonic,MT8365,Mediatek,SPU-A05-SWG,4096
addison_ora,Moto Z Play,motorola,MSM8953,Qualcomm,addison,2048
UT12,UT12,UniStrong,MSM8953,Qualcomm,UT12,4096
WirelessJoey4,Wireless Joey 4,DISH,BCM72160,Broadcom,ATVWJ4,4096
5028D_EEA,Alcatel 1S,Alcatel,MT6762d,Mediatek,Tokyo,3072
KKRTK2851_PROTON,PROTON 4K Android,PROTON,RTD2851A,Realtek,kenton,1536
Acer_one_8_T2_Plus,Acer_one_8_T2_Plus,Acer,MT8766A,Mediatek,Acer_one_8_T2_Plus,4096
PH9M_LT_5599,4K UHD LED Android TV with Ambilight 3-sided and Google Assistant,Philips,MT5599,Mediatek,PH9M_EA_5599,3072
CP_J55aW,CP-J55aW,COVIA,MT6750,Mediatek,CP_J55aW,3072
OnePlus8_BETA,OnePlus 8,OnePlus,SM8250,Qualcomm,OnePlus8,12288
JP_AI2302,Zenfone 10 (AI2302),asus,SM8550,QTI,ASUS_AI2302,16384
falcon_niimx,Moto G (1st Gen),motorola,MSM8626,Qualcomm,falcon_umts,2048
BAH2-L09RU,HUAWEI MediaPad M5 lite,HUAWEI,KIRIN659,HiSilicon,HWBAH2,4096
KingPad_M10,KingPad_M10,Vastking,T618,Spreadtrum,KingPad_M10,6144
klimtltevl,Galaxy TabS 8.4,samsung,Exynos 5420,Samsung,klimtltecan,3072
D5S,D5S,D-Tech,SC9832E,Spreadtrum,D5S,3072
DVB93SX,Africa & Asia Pacific,Syinix,T22,MStar,samseong,1536
a54xsqw,Galaxy A54 5G,samsung,s5e8835,Samsung,a54x,6144
j7elteub,Galaxy J7,samsung,Exynos 7580,Samsung,j7elte,1536
SW4H_Tornado,TORNADO Android TV,Tornado,t32,Mediatek,SW4H,2048
Casper_4K_APAC,55UGA610,Casper,RTD2851A,Realtek,barking,1536
HLTE500T,HLTE500T,Hisense,SDM630,Qualcomm,HSSDM630QC,4096
Touch4G,Touch 4G,Jinga,MT6737,Mediatek,Touch4G,2048
G1_Max,G1 Max,UMIDIGI,T610,Spreadtrum,G1_Max,6144
Profilo_4K_ATV2,Turkey,Profilo,t31,Mediatek,guandu,2048
T507F,TCL 408,TCL,MT6762V/CB,Mediatek,Civic_Plus,3072
V2145i,X80 Pro,vivo,SM8450,QTI,V2145,12288
koobee_K10,koobee_K10,koobee,MT6750,Mediatek,koobee_K10,3072
MAVEN_X10_HD_LTE,MAVEN_X10_HD_LTE,ODYS,MT8735,Mediatek,MAVEN_X10_HD_LTE,2048
GEN_EU_P845A01,ZTE A2019G Pro,ZTE,SDM845,Qualcomm,P845A01,6144
mk6p_global_com,LG X power ,lge,MT6735,Mediatek,mk6p,2048
hiaur_ml_tuhl_00709,M9px,htc,MT6795,Mediatek,htc_hiaur_ml_tuhl,3072
UDBPATV4K,"Ukraine,Czech",BLAUPUNKT,T22,MStar,hanyang,1536
ugglite,Redmi Note 5A,xiaomi,MSM8917,Qualcomm,ugglite,2048
j2y18ltejx,Galaxy Grand Prime Pro,samsung,MSM8917,Qualcomm,j2y18lte,1536
Flare_Y6_Pro,Flare_Y6_Pro,Cherrymobile,MT6739WA,Mediatek,Flare_Y6_Pro,2048
P963F92_1,ZTE Blade A33+ Core,ZTE,SC9863A,Spreadtrum,P963F92,2048
VX18,VX18,Mobicel,SC9863A,Spreadtrum,VX18,2048
m20lteeea,Galaxy M20,samsung,Exynos 7904,Samsung,m20lte,3072
j5xnlteub,Galaxy J5(2016),samsung,MSM8916,Qualcomm,j5xnlte,2048
M5Plus,M5Plus,Tech_Pad,MT6580,Mediatek,M5Plus,2048
H633B,Infinix NOTE 5,Infinix,MT6763,Mediatek,Infinix-X604_sprout,3072
yunluo,Redmi Pad,Redmi,MT8783,Mediatek,yunluo,3072
FS522,Cirrus 14,Fly,MT6737T,Mediatek,Cirrus_14,2048
gta7litewifitur,Galaxy Tab A7 Lite,samsung,MT8768N,Mediatek,gta7litewifi,3072
FFFTAB10a1,FFFTAB10a1,FFFSMARTLIFE,A133,Allwinner,FFFTAB10a1,3072
G9,G9,ADVAN,SC9863A,Spreadtrum,G0130WW,4096
Hubbs,T Tablet,DeutscheTelekom,MT6833,Mediatek,Hubbs,6144
E13,Elegance E13,Haier,MT6750,Mediatek,E13,4096
kminiltedv,Galaxy S5 mini,samsung,Exynos 3470,Samsung,kminilte,1536
JA3-TBA0802,JA3-TBA0802,aiwa,MT8183,Mediatek,JA3-TBA0802,4096
geehrc_tel_au,LG Optimus G,lge,APQ8064,Qualcomm,geehrc,2048
m8qlul_vodafone_ch-de,ONE M8s,htc,MSM8939,Qualcomm,htc_m8qlul,2048
LenovoTB-X306V,Lenovo Tab M10 HD (2nd Gen),Lenovo,MT8768T,Mediatek,X306V,2048
cyprus64_lite,moto e40,motorola,T610,Spreadtrum,cyprus64,4096
FS8016_00WW,SHARP AQUOS S2 Plus,SHARP,SDM660,Qualcomm,SAT,6144
WC300,WC300,WIKO,MT6739WW,Mediatek,WC300,2048
x2tc,X2,Lenovo,MT6592,Mediatek,X2-EU,2048
KTC_ELEMENT_2K_NA_22GV1,ELEMENT,ELEMENT,RTD2841A,Realtek,mountbaker,1536
CPH2023EEA,Find X2,OPPO,SM8250,Qualcomm,OP4BA1L1,12288
B9000,B9000,YSFEN,MT6757,Mediatek,B9000,6144
22in-I-Series-4-Value,22in-I-Series 4-Value,Elo,RK3399,Rockchip,22in-I-Series-4-Value,4096
5030I,Alcatel 1SE,Alcatel,SC9863A,Spreadtrum,Jakarta,3072
9540E,Versity,Spectralink,SDM660,Qualcomm,Versity,4096
htc_asia_hk,Butterfly 2,htc,MSM8926,Qualcomm,htc_a5dug,2048
2041C,V2053,vivo,MT6833V/ZA,Mediatek,2041,8192
s53_aap_cus4s,Liquid S3,acer,MT6592,Mediatek,s3,2048
P40HD_EEA,P40HD_EEA,Teclast,T606,Spreadtrum,P40HD_EEA,8192
Pad_M11_EEA,Pad_M11_EEA,MARVUE,MT8167B,Mediatek,Pad_M11_EEA,2048
NotePad_101_B_EEA,NotePad_101_B_EEA,Dragon_Touch,SC9863A,Spreadtrum,NotePad_101_B,3072
SO-52C,Xperia 10 IV,docomo,SM6375,QTI,SO-52C,6144
a04eser,Galaxy A04e,samsung,MT6765,Mediatek,a04e,3072
10C-LTE-A11,10C-LTE-A11,UMAX,SC9863A,Spreadtrum,10C-LTE-A11,3072
PT1019A,PT1019A,Soniq,RK3326,Rockchip,PT1019A,2048
fleur_p_global,POCO M4 Pro,POCO,MT6781V/CD,Mediatek,fleur,6144
a5lteldu,Galaxy A5,samsung,MSM8916,Qualcomm,a5lte,2048
willow_eea,Redmi Note 8T,xiaomi,SM6125,Qualcomm,willow,3072
T_71_HD,T_71_HD,LAVA,MT6735,Mediatek,T_71_HD,1536
S19_EEA,S19_EEA,leaderhub,T618,Spreadtrum,S19_EEA,8192
ocndugl_00709,U11,htc,MSM8998,Qualcomm,htc_ocndugl,6144
MAR-LX1A,P30 lite,HUAWEI,KIRIN710,HiSilicon,HWMAR,6144
PD2069C,V2069A,vivo,MT6833V/ZA,Mediatek,PD2069,8192
F52A,F-52A,DOCOMO,SM7250,Qualcomm,F52A,8192
1809,vivo 1809,vivo,MT6762,Mediatek,1809,4096
iCare10,iCare10,iCare,MT8167A,Mediatek,iCare10,2048
g2_open_com,LG G2,lge,MSM8974,Qualcomm,g2,2048
DUA-LX3,Honor 7S,HONOR,MT6739CW,Mediatek,HWDUA-M,2048
CK8n-TR,CAMON 20 Pro 5G ,TECNO,MT6893Z/CZA,Mediatek,TECNO-CK8n,8192
AWOW_CreaPad_1001,AWOW_CreaPad_1001,AWOW,SC9863A,Spreadtrum,AWOW_CreaPad_1001,3072
gts7xllitesqw,Galaxy Tab S7 FE,samsung,SM7225,Qualcomm,gts7xllite,4096
a9y18qltezh,Galaxy A9 2018,samsung,SDM660,Qualcomm,a9y18qltechn,6144
OPPO_13017,X909,OPPO,MSM8260,Qualcomm,FIND5,2048
X695C-GL,NOTE 10 Pro,Infinix,MT6785,Mediatek,Infinix-X695C,8192
PowerMaxP490S_EU,PowerMaxP490S_EU,ENERGIZER,MT6739WA,Mediatek,PowerMaxP490S_EU,2048
b0qksx,Galaxy S22 Ultra,samsung,SM8450,QTI,b0q,8192
borag_retailen,moto e22,motorola,MT6765,Mediatek,borag,3072
F1_US,NewTab F1,Infocus,A31,Allwinner,f1,2048
vodafone_ch-de,One mini 2,htc,MSM8974AB,Qualcomm,htc_m8,2048
Tablet_X_EEA,Tablet_X_EEA,iHunt,MT8768A,Mediatek,Tablet_X,4096
r9q2csx,Galaxy S21 FE 5G,samsung,SM8350,Qualcomm,r9q,6144
SGA208SH,AQUOS sense7 plus,SG,SM6375,QTI,Quattro,6144
SH-A01,B10,Sharp,MT6750,Mediatek,SH-A01,4096
RMX3357,真我GT Neo2T	,realme,MT6893,Mediatek,RE5469,8192
a11quc,Galaxy A11,samsung,SDM450,Qualcomm,a11q,3072
BRAVIA_TL2,BRAVIA TL2,Sony,t32,Mediatek,OD0M_EA_T32,1536
WP5000,WP5000,OUKITEL,MT6757,Mediatek,WP5000,6144
LenovoTB-J606F_TR,Lenovo Tab P11,Lenovo,SDM660,Qualcomm,J606F,4096
RealtekRTD1325,RealtekRTD1325,Realtek,RTD1325,Realtek,RealtekRTD1325,2048
zenltezh,Galaxy S6 edge+,samsung,Exynos 7420,Samsung,zenlte,4096
COOKIE-HOME,YS-CK0001,COOKIE,AMLS905X2,Amlogic,YS-CK0001,2048
K175,Vantage,Avaya,DVF1100,DSP Group,K175,2048
RMX3492T2,realme 9i,realme,SM6225,QTI,RED8C1L1,6144
RMX3511,realme C35,realme,T616,Spreadtrum,RE87BAL1,4096
TAB_814,TAB_814,MAJESTIC,A133,Allwinner,TAB_814,3072
WOD-LX3,HONOR X5 Plus,HONOR,MT6765V/XBA,Mediatek,HNWDY-M,4096
K107-EEA,K107_EEA,BMXC,MT6580,Mediatek,K107-EEA,2048
pmewl_00593,10,htc,MSM8996,Qualcomm,htc_pmewl,4096
a04etur,Galaxy A04e,samsung,MT6765,Mediatek,a04e,3072
P1_2_EEA,T10,DOOGEE,T606,Spreadtrum,P1_2,8192
RMX2041,realme 6i,realme,MT6769T,Mediatek,RMX2041,3072
m52xqeea,Galaxy M52 5G,samsung,SM7325,Qualcomm,m52xq,6144
Elite_T10,Elite T10,Sky_Devices,T618,Spreadtrum,Elite_T10,4096
X9,X9,EVERCOSS,T606,Spreadtrum,X9,6144
Exclusiv_4K_ATV2,Columbia,Exclusiv,t32,Mediatek,patrick,2048
MC2200BA,Zebra Technologies MC2200,Zebra,SDA660,Qualcomm,MC2200,4096
Note_7T_EEA,Note_7T_EEA,Ulefone,MT6737,Mediatek,Note_7T,2048
AgentWifi_00WW,Nokia T21,Nokia,T612,Spreadtrum,AGTA,3072
W7,W7,Wings,MT6771,Mediatek,W7,6144
daisy,Mi A2 Lite,xiaomi,MSM8953,Qualcomm,daisy_sprout,4096
DU_400,DU 400,Brava,MT6739WA,Mediatek,DU_400,3072
Ada,Venus E2 Plus,Vestel,MSM8909,Qualcomm,Ada,2048
M10_Lite,M10_Lite,Pritom,SC9863A,Spreadtrum,M10_Lite,2048
GIONEE_M100,GIONEE_M100,GIONEE,MT6763,Mediatek,GIONEE_M100,4096
EU_AI2203,ROG Phone 6D Ultimate,asus,MT6983,Mediatek,ASUS_AI2203,16384
BISON_R,BISON R,UMIDIGI,MT6771,Mediatek,BISON_R,8192
BF7s-MXTC,TECNO,TECNO,MT6761V/WB,Mediatek,TECNO-BF7s,3072
jactivelteub,Galaxy S4 Active,samsung,APQ8064,Qualcomm,jactivelteatt,2048
VX18_1,VX18_1,Mobicel,SC9863A,Spreadtrum,VX18_1,2048
T501L,TCL ION,TCL,MT6761V/CAB,Mediatek,Rapid_USCC,3072
X5max_PRO,X5 max pro,DOOGEE,MT6737,Mediatek,X5max_PRO,2048
