product,marketing_name,brand,cpu,cpu_make,device,memory_mb
XQ-BT52_EEA,Xperia 10 III,Sony,SM6350,Qualcomm,XQ-BT52,6144
a54xnsser,Galaxy A54 5G,samsung,s5e8835,Samsung,a54x,6144
KYV36_jp_uq,DIGNO L,KDDI,MSM8916,Qualcomm,KYV36,2048
A507LV-ZAVC3,itel V52 lite,Itel,SC9832E,Spreadtrum,itel-A507LV,2048
Jaguar,T Phone,DeutscheTelekom,MT6833,Mediatek,Jaguar,4096
e66_dugl_00709,One X10,htc,MT6755,Mediatek,htc_e66_dugl,4096
SW8_SINGER,Singer 4K GSMART TV FF,SINGER,t51p,Mediatek,anaheim,3072
Ronin_00FD,Nokia G20,Nokia,MT6765,Mediatek,RNNA_sprout,4096
SGA203SH,AQUOS wish2,SG,SM6375,QTI,SXI,4096
HSTVHK,laoshan_HK,Hisense,MT5597,Mediatek,laoshan,2048
SKETSA_2,ADVAN_SKETSA_2,ADVAN,T310,Spreadtrum,ADVAN_SKETSA_2,4096
CPH1937,A9 2020,OPPO,SM6125,Qualcomm,OP4B80L1,4096
PT73G1,PT73G1,PRAZteck,SC7731E,Spreadtrum,PT73G1,2048
Magenta-TV-Stick,DV6067Y-T,Magenta-TV,AMLS905Y2,Amlogic,DV6067Y_TVStick,2048
P720F02_1,ZTE 7160N,ZTE,T760,Spreadtrum,P720F02,4096
CPH2173RU,CPH2173,OPPO,SM8350,Qualcomm,OP4F57L1,12288
LDN-L22B,HUAWEI Y7 Prime 2018,HUAWEI,MSM8937,Qualcomm,HWLDN-Q,3072
M5_US_4G,M5,FreeYond,T606,Spreadtrum,M5,4096
1703,vivo 1703,vivo,MSM8953,Qualcomm,1703,4096
ET1012T,E1012T,i-Scream_tab,MT8788B,Mediatek,ET1012T,4096
G314,GM 23 SE Single,GM,MT6765,Mediatek,G314,4096
cancun_gen,moto g14,motorola,T616,Spreadtrum,cancun,4096
volantisg,Nexus 9 LTE,google,Tegra K1-CA15,NVidia,flounder_lte,2048
S900Plus,S900Plus,boxchip,MT6739WW,Mediatek,S900Plus,2048
PGN609,PGN609,condor,MT6735,Mediatek,PGN609,3027
T610E_OV,TCL 40 SE,TCL,MT6765,Mediatek,Model_3,4096
K-Ranger_RU,K-Ranger,Custom,SDM450,Qualcomm,K-Ranger,2048
karate,VIBE K6 Power,Lenovo,MSM8937,Qualcomm,K33b36,3072
Magnum_8s,Magnum 8s,Cherry,SC9863A,Spreadtrum,Cherry_Magnum_8s,4096
XQ-AD51_EEA,Xperia L4,Sony,MT6762,Mediatek,XQ-AD51,3072
GEN_EE_P639F10,ZTE BLADE A530,ZTE,MT6739WW,Mediatek,P639F10,2048
GN9012,GN9012,GIONEE,MT6755M,Mediatek,GIONEE_GBL7529,4096
lcd_xxbel6a,LCD-xxBEL6A,SHARP,Hi3751,HiSilicon,lcd_xxbel6a,1536
CPH2273,CPH2273,OPPO,MT6765,Mediatek,OP4F97,4096
T04_aap_gen1,Liquid Z630S,acer,MT6753,Mediatek,acer_t04,3072
U221-EEA,U221-EEA,YUMKEM,RK3566,Rockchip,U221-EEA,3072
HY4420-DT-CR,TV Box,MAXtv,AMLS905X4,Amlogic,HY44G,2048
CPH2219,CPH2219,OPPO,SM6115,Qualcomm,OP4F11L1,6144
E670,E670,PHICOMM,MSM8909,Qualcomm,E670,2048
SEI800MC,FRC1-Midco,EVOFORCE1,AMLS905X4,Amlogic,SEI800MC,2048
2110,V2110,vivo,MT6769T,Mediatek,2110,4096
PTB8R,PTB8R,PHILCO,SC9832E,Spreadtrum,PTB8R,2048
G03_4K_US_NF_DB,G03_4K_US_NF_DB,TCL,RTD2851M,Realtek,BeyondTV4,2048
Kogan_Agora_9,Kogan Agora 9,Kogan,MT6739CW,Mediatek,Kogan_Agora_9,2048
OKC8_4G,OKC8 4G,OUKITEL,MT6737,Mediatek,OKC8_4G,2048
icx1302_003,NW-ZX700Series,SonyAudio,QCS4290,Qualcomm,icx1302,4096
