manufacturer,brand,product,device,marketing_name,cpu_model,cpu_make,ram_mb
HUAWEI,HONOR,JSN-L22X,HWJSN-H,HONOR 9X lite,KIRIN710,HiSilicon,4096
HUAWEI,HONOR,JSN-L21XRU,HWJSN-H,HONOR 9X lite,KIRIN710,HiSilicon,4096
HUAWEI,HONOR,JSN-L21XEEA,HWJSN-H,HONOR 9X lite,KIRIN710,HiSilicon,4096
HUAWEI,HONOR,HRY-LX1AT,HWHRY-HF,HONOR 20e,KIRIN710F,HiSilicon,6144
HUAWEI,HUAWEI,POT-LX1A,HWPOT-H,HUAWEI P smart 2020,KIRIN710,HiSilicon,4096
HUAWEI,HONOR,MAR-LX1RRU,HWMAR,HONOR 20 LITE,KIRIN710,HiSilicon,6144
HUAWEI,HUAWEI,POT-LX1ARU,HWPOT-H,HUAWEI P smart 2020,KIRIN710,HiSilicon,4096
HUAWEI,HONOR,HRY-LX1ATRU,HWHRY-HF,HONOR 20e,KIRIN710F,HiSilicon,6144
HUAWEI,HUAWEI,JKM-LX1SRU,HWJKM-H,HUAWEI Y8s,KIRIN710,HiSilicon,4096
HUAWEI,HONOR,HRY-LX1ATEEA,HWHRY-HF,HONOR 20e,KIRIN710F,HiSilicon,6144
HUAWEI,HUAWEI,POT-LX1AEEA,HWPOT-H,HUAWEI P smart 2020,KIRIN710,HiSilicon,4096
HUAWEI,HUAWEI,MAR-LX1MEEA,HWMAR,HUAWEI P30 lite,KIRIN710,HiSilicon,6144
HUAWEI,HUAWEI,POT-LX1TRU,HWPOT-H,HUAWEI P smart+ 2019,KIRIN710,HiSilicon,4096
HUAWEI,HUAWEI,JKM-LX3B,HWJKM-H,HUAWEI Y9 Pro,KIRIN710,HiSilicon,4096
HUAWEI,HUAWEI,JKM-LX3S,HWJKM-H,HUAWEI Y8s,KIRIN710,HiSilicon,4096
HUAWEI,HUAWEI,JKM-LX1S,HWJKM-H,HUAWEI Y8s,KIRIN710,HiSilicon,4096
HUAWEI,HONOR,JSN-L23X,HWJSN-H,HONOR 9X lite,KIRIN710,HiSilicon,4096
HUAWEI,HUAWEI,JKM-LX2S,HWJKM-H,HUAWEI Y8s,KIRIN710,HiSilicon,4096
HUAWEI,HUAWEI,JKM-LX2W,HWJKM-H,HUAWEI Y8,KIRIN710,HiSilicon,4096
HUAWEI,HUAWEI,POT-LX3A,HWPOT-H,HUAWEI P smart 2020,KIRIN710,HiSilicon,4096
HUAWEI,HUAWEI,JKM-LX3X,HWJKM-H,HUAWEI Y8 Pro,KIRIN710,HiSilicon,4096
HUAWEI,HUAWEI,STK-L01MDV,HWSTK-HF,Huawei Y9s,KIRIN710F,HiSilicon,4096
HUAWEI,HUAWEI,JKM-LX1X,HWJKM-H,HUAWEI Y8 Pro,KIRIN710,HiSilicon,4096
HUAWEI,HUAWEI,POT-LX2JA,HWPOT-H,HUAWEI nova lite 3+,KIRIN710,HiSilicon,4096
HUAWEI,HUAWEI,JKM-LX1W,HWJKM-H,HUAWEI Y8,KIRIN710,HiSilicon,4096
HUAWEI,HUAWEI,JKM-LX3W,HWJKM-H,HUAWEI Y8,KIRIN710,HiSilicon,4096
HUAWEI,HUAWEI,JKM-LX2X,HWJKM-H,HUAWEI Y8 Pro,KIRIN710,HiSilicon,4096
HUAWEI,HUAWEI,STK-L21MRU,HWSTK-HF,HUAWEI Y9 Prime 2019,KIRIN710F,HiSilicon,4096
HUAWEI,HUAWEI,JKM-LX1SEEA,HWJKM-H,HUAWEI Y8s,KIRIN710,HiSilicon,4096
HUAWEI,HUAWEI,DUB-LX2,HWDUB-Q,HUAWEI Y7 Pro 2019,SDM450,Qualcomm,4096
HUAWEI,HONOR,JDN2-W09HN,HWJDN2,荣耀平板5,KIRIN710,HiSilicon,4096
