manufacturer,brand,product,device,marketing_name,cpu_model,cpu_make,ram_mb
vivo,vivo,2026M,2026,V2042,MT6765,Mediatek,3072
LENOVO,Lenovo,LenovoTB-J706L_RU,J706L,Lenovo Tab P11 Pro,SDM712,Qualcomm,4096
vivo,vivo,2027_EEA,2027,V2027,SM4250,Qualcomm,6144
HMD Global,Nokia,BabyGroot_00FD,BGT_sprout,Nokia 8.3 5G,SM7250,Qualcomm,8192
vivo,vivo,2006VNG,2006,V2006,SM7250,Qualcomm,8192
OPPO,OPPO,CPH2209T2,OP4C51L1,Reno4 F,MT6779p95,Mediatek,6144
LENOVO,Lenovo,LenovoTB-J606F_RU,J606F,Lenovo Tab P11,SDM660,Qualcomm,4096
OPPO,OPPO,CPH2125TR,OP4C51L1,Reno4 Lite,MT6779p95,Mediatek,6144
vivo,vivo,2027M2,2027,V2028,SM4250,Qualcomm,6144
vivo,vivo,2025TN,2025,V2025,SM7125,Qualcomm,8192
vivo,vivo,2004,2004,X50,SM7150,Qualcomm,8192
LENOVO,Lenovo,LenovoTB-J606L_RU,J606L,Lenovo Tab P11,SDM660,Qualcomm,4096
vivo,vivo,1804_RU,1804,vivo 1804,SDM660,Qualcomm,6144
vivo,vivo,1815_RU,1815,vivo 1815,MT6762,Mediatek,4096
vivo,vivo,2028E_TR,2028,V2028,SM4250,Qualcomm,3072
vivo,vivo,2006NG_RU,2006,X50 Pro,SM7250,Qualcomm,8192
vivo,vivo,2036M,2036,V2031,SM6115,Qualcomm,8192
OPPO,OPPO,CPH2025EEA,OP4BA2L1,Find X2 Pro,SM8250,Qualcomm,12288
vivo,vivo,1938N_RU,1938,vivo 1938,MT6765,Mediatek,4096
vivo,vivo,2027E_TR,2027,V2027,SM4250,Qualcomm,6144
vivo,vivo,2027,2027,V2027,SM4250,Qualcomm,6144
vivo,vivo,1904_RU,1904,vivo 1904,MT6762,Mediatek,3072
vivo,vivo,2027M3,2027,V2029_PK,SM4250,Qualcomm,6144
motorola,motorola,cebu_retail,cebu,moto g(9) power,SM6115,Qualcomm,4096
vivo,vivo,PD2031E,PD2031,V2031A,MT6853V/ZA,Mediatek,8192
OPPO,OPPO,CPH2139T2,OP4EFDL1,A53,SM4250,Qualcomm,4096
vivo,vivo,1726_RU,1726,vivo 1726,MT6762,Mediatek,4096
vivo,vivo,2037TM,2037,V2038,MT6769T,Mediatek,4096
vivo,vivo,1938_PK,1938,vivo 1940,MT6765,Mediatek,4096
OPPO,OPPO,CPH2127,OP4EFDL1,A53,SM4250,Qualcomm,4096
asus,asus,EU_I001D,ASUS_I001_1,ROG Phone II,SM8150,Qualcomm,10240
OPPO,OPPO,CPH1979EEA,OP48A1L1,Reno Z,MT6779p90,Mediatek,4096
vivo,vivo,2025,2025,V2025,SM7125,Qualcomm,8192
vivo,vivo,2026E,2026,V2026,MT6765,Mediatek,3072
vivo,vivo,2015_RU,2015,vivo 2015,MT6765,Mediatek,3072
vivo,vivo,1920,1920,vivo 1920,SM6125,Qualcomm,8192
LENOVO,Lenovo,LenovoTB-8505F-EEA,8505F,Lenovo Tab M8,MT8766A,Mediatek,3072
vivo,vivo,2040,2040,V2040,SM6150,Qualcomm,8192
LGE,lge,mmh4p_fne,mmh4p,LG Q60,MT6762,Mediatek,3072
vivo,vivo,2027N_RU,2027,V2027,SM4250,Qualcomm,6144
vivo,vivo,1920N_RU,1920,vivo 1920,SM6125,Qualcomm,8192
vivo,vivo,2006G,2006,X50 Pro,SM7250,Qualcomm,8192
vivo,vivo,2036_RU,2036,V2036,SM6115,Qualcomm,8192
vivo,vivo,1818N_RU,1818N,vivo 1818,SDM675,Qualcomm,6144
vivo,vivo,2028E,2028,V2028,SM4250,Qualcomm,3072
vivo,vivo,2026C,2026,V2043,MT6765,Mediatek,3072
vivo,vivo,1816_RU,1816,vivo 1816,MT6762,Mediatek,2048
OPPO,OPPO,CPH2009EEA,OP4C2DL1,Find X2 Neo/Reno3 Pro,SM7250,Qualcomm,12288
vivo,vivo,2027E,2027,V2027,SM4250,Qualcomm,6144
vivo,vivo,PD2025,PD2024,V2025A,SM8250,Qualcomm,8192
OPPO,OPPO,CPH2173T2,OP4F57L1,Find X3 Pro,SM8350,Qualcomm,12288
vivo,vivo,1935,1935,vivo 1935,SM6125,Qualcomm,6144
LENOVO,Lenovo,LenovoTB-X306XA_EEA,X306XA,Lenovo Tab M10 HD (2nd Gen),MT8768T,Mediatek,2048
OPPO,OPPO,CPH1941EEA,OP4B80L1,A9 2020,SM6125,Qualcomm,4096
vivo,vivo,1727_RU,1727,vivo 1727,SDM450,Qualcomm,4096
vivo,vivo,1805_RU,1805,vivo 1805,SDM845,Qualcomm,8192
vivo,vivo,2006VNG_TR,2006,V2006,SM7250,Qualcomm,8192
OPPO,OPPO,CPH2065EEA,OP4BDCL1,Reno 4Z 5G,MT6873,Mediatek,8192
vivo,vivo,1915N_RU,1915,vivo 1915,MT6768,Mediatek,4096
vivo,vivo,1910N_RU,1910N,vivo 1910,SM6150,Qualcomm,8192
vivo,vivo,2101,2034,V2101,SDM439,Qualcomm,3072
OPPO,OPPO,CPH1921,OP4847,Reno 10x room,SM8150,Qualcomm,8192
vivo,vivo,1902D_RU,1902D,Y17,MT6765,Mediatek,4096
LENOVO,Lenovo,LenovoTB-8505X-RU,8505X,Lenovo Tab M8 ,MT8766A,Mediatek,3072
motorola,motorola,guam_retail,guam,moto e(7) plus,SM4250,Qualcomm,4096
OPPO,OPPO,CPH2135EEA,OP4EFDL1,A53s,SM4250,Qualcomm,4096
vivo,vivo,2015F,2015,vivo 2015,MT6765,Mediatek,3072
LENOVO,Lenovo,LenovoTB-8505X-EEA,8505X,Lenovo Tab M8 ,MT8766A,Mediatek,3072
OPPO,OPPO,CPH2131,OP4EFDL1,A53,SM4250,Qualcomm,4096
vivo,vivo,1803_RU,1803,vivo 1803,MT6762,Mediatek,3072
LENOVO,Lenovo,LenovoTB-X306X_EE,X306X,Lenovo Tab M10 HD (2nd Gen),MT8768T,Mediatek,2048
LENOVO,Lenovo,LenovoTB-J706L_TR,J706L,Lenovo Tab P11 Pro,SDM712,Qualcomm,4096
LENOVO,Lenovo,LenovoYT-K606F_TR,K606F,Yoga Tab 13(ROW),SDM855,Qualcomm,8192
vivo,vivo,1806_RU,1806,vivo 1806,MT6771,Mediatek,6144
OPPO,OPPO,CPH2113,OP4BA5L1,CPH2113,SM7125,Qualcomm,8192
asus,asus,EU_I002D,ASUS_I002D,ZenFone 7 / 7 Pro (ZS670KS/ZS671KS),SM8250,Qualcomm,6144
vivo,vivo,1938,1938,vivo 1938,MT6765,Mediatek,4096
vivo,vivo,2037T,2037,V2037,MT6769T,Mediatek,4096
LENOVO,Lenovo,LenovoTB-X306F_TR,X306F,Lenovo Tab M10 HD (2nd Gen),MT8768T,Mediatek,2048
motorola,motorola,capri_retailn,capri,moto g(10),SM4350,Qualcomm,4096
vivo,vivo,2026EC,2026,V2043,MT6765,Mediatek,3072
OPPO,OPPO,CPH2185EEA,OP4F2F,CPH2185,MT6765,Mediatek,2048
OPPO,OPPO,CPH2133T2,OP4EFDL1,A53,SM4250,Qualcomm,4096
vivo,vivo,2026TM2,2026,V2043_21,MT6765,Mediatek,3072
vivo,vivo,2061T,2061,V2061,SM7125,Qualcomm,8192
LGE,lge,phoenix_sb_jp,phoenix_sprout,X5,MSM8998,Qualcomm,4096
OPPO,OPPO,CPH2119,OP4C51L1,F17 Pro,MT6779p95,Mediatek,6144
OPPO,OPPO,CPH1919EEA,OP4845L1,Reno 10x Zoom,SM8150,Qualcomm,8192
OPPO,OPPO,CPH1951EEA,OP4B65L1,Reno2 Z,MT6779p90,Mediatek,8192
motorola,motorola,kiev_retaile,kiev,moto g 5G,SM7225,Qualcomm,4096
vivo,vivo,2004N_RU,2004,X50,SM7150,Qualcomm,8192
LENOVO,Lenovo,LenovoTB-X606X_EEA,X606X,Lenovo Tab M10 FHD Plus,MT8768T,Mediatek,4096
vivo,vivo,2046_RU,2046,V2046,SM8250ac,Qualcomm,12288
OPPO,OPPO,CPH2185TR,OP4F2F,CPH2185,MT6765,Mediatek,2048
vivo,vivo,1933,1933,vivo 1933,SDM712,Qualcomm,8192
vivo,vivo,2025T,2025,V2025,SM7125,Qualcomm,8192
vivo,vivo,2023_TR,2023,V2023,SM6125,Qualcomm,8192
motorola,motorola,racer_retaile,racer,motorola edge,SM7250,Qualcomm,6144
vivo,vivo,2041T,2041,V2041,MT6833V/ZA,Mediatek,8192
vivo,vivo,2005G,2005,vivo 2005,SM7250,Qualcomm,8192
vivo,iQOO,I1927,I1928,I1927,SM8250,Qualcomm,8192
vivo,vivo,1801_RU,1801,Y71,MSM8917,Qualcomm,2048
vivo,vivo,2023_RU,2023,V2023,SM6125,Qualcomm,8192
OPPO,OPPO,CPH2127T2,OP4EFDL1,A53,SM4250,Qualcomm,4096
LENOVO,Lenovo,LenovoTB-J606F_EEA,J606F,Lenovo Tab P11,SDM660,Qualcomm,4096
vivo,vivo,2027M1,2027,V2029,SM4250,Qualcomm,6144
LGE,lge,mmh4p_sb_jp,mmh4p-pr,LG K50,MT6762,Mediatek,3072
OPPO,OPPO,CPH2005EEA,OP4C41L1,Find X2 Lite,SM7250,Qualcomm,8192
OPPO,OPPO,CPH2127RU,OP4EFDL1,A53,SM4250,Qualcomm,4096
LENOVO,Lenovo,LenovoTB-X306F_EEA,X306F,Lenovo Tab M10 HD (2nd Gen),MT8768T,Mediatek,2048
Sony,Sony,XQ-BE62,XQ-BE62,Xperia PRO-I,SM8350,Qualcomm,12288
vivo,vivo,2036M2,2036,V2036_21,SM6115,Qualcomm,8192
asus,asus,EU_I01WD,ASUS_I01WD,ZenFone 6 (ZS630KL) (WW) / 6Z (ZS630KL) (IN),SM8150,Qualcomm,6144
HMD Global,Nokia,Wolverine_00FD,WVR_sprout,Nokia 2.4,MT6762,Mediatek,2048
OPPO,OPPO,CPH2089EEA,OP4C87L1,Reno4 Pro 5G,SM7250,Qualcomm,12288
OPPO,OPPO,CPH2135,OP4EFDL1,A53s,SM4250,Qualcomm,4096
vivo,vivo,2037M,2037,V2038,MT6769T,Mediatek,4096
vivo,vivo,2023E,2023,V2023,SM6125,Qualcomm,8192
vivo,vivo,1907N_RU,1907N, vivo 1907,MT6768,Mediatek,6144
vivo,vivo,1906_RU,1906,vivo 1906,SDM439,Qualcomm,3072
OPPO,OPPO,CPH2023EEA,OP4BA1L1,Find X2,SM8250,Qualcomm,12288
vivo,vivo,2023TN,2023,V2022,SM6125,Qualcomm,8192
vivo,vivo,2026_RU,2026,V2026,MT6765,Mediatek,3072
motorola,motorola,odessa_retaile,odessa,moto g(9) plus,SM7150,Qualcomm,4096
OPPO,OPPO,CPH1979,OP48A1,Reno Z,MT6779p90,Mediatek,4096
vivo,vivo,1915,1915,vivo 1915,MT6768,Mediatek,4096
Sony,Sony,XQ-BC52_EEA,XQ-BC52,Xperia 1 III,SM8350,Qualcomm,12288
OPPO,OPPO,CPH2091,OP4C45L1,Reno4 5G ,SM7250,Qualcomm,8192
vivo,vivo,1920_2024,1920,V2024,SM6125,Qualcomm,8192
LENOVO,Lenovo,LenovoTB-J606F_TR,J606F,Lenovo Tab P11,SDM660,Qualcomm,4096
vivo,vivo,1937_TR,1937,V1937,SM6125,Qualcomm,8192
LENOVO,Lenovo,LenovoTB-8505XS-EEA,8505XS,Lenovo Smrat Tab M8 ,MT8766A,Mediatek,3072
LENOVO,Lenovo,LenovoTB-X606V_EEA,X606V,Lenovo Tab M10 Plus,MT8768A,Mediatek,4096
LENOVO,Lenovo,LenovoTB-X306F_RU,X306F,Lenovo Tab M10 HD (2nd Gen),MT8768T,Mediatek,2048
vivo,vivo,2045T,2045,V2045,SM8250ac,Qualcomm,8192
vivo,vivo,1811_RU,1811,vivo 1811,SDM439,Qualcomm,3072
TPV,Philips,PH0M_EA_T32_2K,PH0M_EA_T32,Philips Android TV,t32,Mediatek,1536
LENOVO,Lenovo,LenovoTB-8705F-EEA,8705F,Lenovo Smart Tab M8,MT8768T,Mediatek,4096
vivo,vivo,1725_RU,1725,vivo 1725,SDM660,Qualcomm,6144
vivo,vivo,2058TC,2058,V2057,MT6769T,Mediatek,8192
LGE,lge,mh2lm_5g,mh2lm,V50S ThinQ,SM8150,Qualcomm,6144
OPPO,OPPO,CPH2037,OP4C5FL1,Reno3 Pro,MT6779p95,Mediatek,8192
vivo,vivo,2050,2050,V2050,MT6853V/TNZA,Mediatek,8192
vivo,vivo,1819N_RU,1819N,vivo 1819,MT6771T,Mediatek,6144
google,google,samus,samus_cheets,Chromebook Pixel (2015),i7-5500U,Intel,16384
LENOVO,Lenovo,LenovoTB-8505FS-EEA,8505FS,Lenovo Tab M8,MT8766A,Mediatek,3072
LENOVO,Lenovo,LenovoTB-X306X_EEA,X306X,Lenovo Tab M10 HD (2nd Gen),MT8768T,Mediatek,2048
HMD Global,Nokia,BabyGroot_00EEA,BGT_sprout,Nokia 8.3 5G,SM7250,Qualcomm,8192
vivo,vivo,1723_RU,1723,vivo 1723,MSM8953 Pro,Qualcomm,4096
LGE,lge,mdh50lm_fg,mdh50lm,Stylo 6,MT6765,Mediatek,3072
motorola,motorola,burton_retailr,burton,motorola edge plus,SM8250,Qualcomm,12288
vivo,vivo,2066TN,2050,V2050,MT6853V/TNZA,Mediatek,8192
LGE,lge,dh0lm_ne,dh0lm,K22,QM215,Qualcomm,2048
vivo,vivo,1929,2015,vivo 1929,MT6765,Mediatek,3072
vivo,vivo,1814_RU,1814,vivo 1814,MT6762,Mediatek,3072
vivo,vivo,2044T,2044,V2044,MT6765,Mediatek,2048
vivo,vivo,2036TM,2036,V2031,SM6115,Qualcomm,8192
LGE,lge,caymanlm_e,caymanlm,VELVET,SM7250,Qualcomm,6144
LENOVO,Lenovo,LenovoTB-J706F_EEA,J706F,Lenovo Tab P11 Pro,SDM712,Qualcomm,6144
vivo,vivo,2036,2036,V2036,SM6115,Qualcomm,8192
motorola,motorola,caprip_retailen,caprip,moto g(30),SM6115,Qualcomm,4096
LENOVO,Lenovo,LenovoTB-J606L_TR,J606L,Lenovo Tab P11,SDM660,Qualcomm,4096
LGE,lge,alphalm_lao_com,alphalm,LG G8 ThinQ™,SM8150,Qualcomm,6144
LENOVO,Lenovo,LenovoTB-J706L_EEA,J706L,Lenovo Tab P11 Pro,SDM712,Qualcomm,4096
realme,realme,RMX2103T2,RE50C1,realme 7i,SM6115,Qualcomm,4096
LENOVO,Lenovo,LenovoTB-X606F_EEA,X606F,Lenovo Tab M10 FHD Plus,MT8768A,Mediatek,4096
OPPO,OPPO,CPH2083,OP4BFB,CPH2083,MT6765,Mediatek,3072
vivo,vivo,2025_RU,2025,V2025,SM7125,Qualcomm,8192
vivo,vivo,2066,2050,V2066,MT6853V/TNZA,Mediatek,8192
vivo,vivo,2126T,2126,V2126,MT6833V/MNZA,Mediatek,8192
vivo,vivo,2046T,2046,V2046,SM8250ac,Qualcomm,12288
LGE,lge,cv7as,cv7as,LG Stylo 5,SDM450,Qualcomm,3072
vivo,vivo,1808_RU,1808,vivo 1808,MT6762,Mediatek,3072
vivo,vivo,1807N_RU,1807N,vivo 1807,SDM439,Qualcomm,4096
vivo,vivo,2026TM1,2026,V2026_21,MT6765,Mediatek,3072
OPPO,OPPO,CPH2139,OP4EFDL1,A53,SM4250,Qualcomm,4096
OPPO,OPPO,PAHM00,PAHM00,Find X 兰博基尼,SDM845,Qualcomm,8192
vivo,vivo,2023C,2023,V2022,SM6125,Qualcomm,8192
OPPO,OPPO,CPH2036,OP4C5FL1,Reno3 Pro,MT6779p95,Mediatek,8192
LENOVO,Lenovo,LenovoTB-8505F-RU,8505F,Lenovo Tab M8 ,MT8766A,Mediatek,3072
Sony,Sony,XQ-AS62,XQ-AS62,Xperia 5 II,SM8250,Qualcomm,8192
vivo,vivo,2023T,2023,V2022,SM6125,Qualcomm,8192
OPPO,OPPO,PAFT00,PAFT00,Find X,SDM845,Qualcomm,8192
vivo,vivo,2036T,2036,V2036,SM6115,Qualcomm,8192
OPPO,OPPO,OPG03_jp_kdi,OP4F57L1,Find X3 Pro,SM8350,Qualcomm,12288
LENOVO,Lenovo,LenovoTB-X606F_RU,X606F,Lenovo Tab M10 FHD Plus,MT8768A,Mediatek,4096
OPPO,OPPO,CPH2239RU,OP4F2F,CPH2239,MT6765,Mediatek,2048
OPPO,OPPO,CPH2185,OP4F2F,CPH2185,MT6765,Mediatek,2048
HMD Global,Nokia,Quicksilver_00EEA,QKS_sprout,Nokia X20,SM4350,Qualcomm,6144
vivo,vivo,2041E,2041,V2041,MT6833V/ZA,Mediatek,8192
OPPO,OPPO,CPH1877,CPH1877,R17 Pro,SDM710,Qualcomm,6144
OPPO,OPPO,CPH2091EEA,OP4C45L1,Reno4 5G,SM7250,Qualcomm,8192
motorola,motorola,liber_retaile,liber,motorola one fusion+,SM7150,Qualcomm,4096
motorola,motorola,smith_retailr,smith,motorola razr 5G,SM7250,Qualcomm,8192
OPPO,OPPO,PDYM20,OP4E21,PDYM20,MT6853V/ZA,Mediatek,8192
HMD Global,Nokia,ScarletWitch_00FD,SCW_sprout,Nokia X10,SM4350,Qualcomm,4096
OPPO,OPPO,OPG02_jp_kdi,OP4F39L1,OPG02_jp_kdi,SM4350,Qualcomm,4096
vivo,vivo,2052,2034,V2052,SDM439,Qualcomm,3072
motorola,motorola,guamp_retailrn,guamp,moto g(9) play,SM6115,Qualcomm,4096
vivo,vivo,2036C,2036,V2035,SM6115,Qualcomm,8192
motorola,motorola,capri_retailin,capri,moto g10 power,SM4350,Qualcomm,4096
OPPO,OPPO,CPH2109T2,OP4BA5L1,CPH2109,SM7125,Qualcomm,8192
OPPO,OPPO,CPH2185RU,OP4F2F,CPH2185,MT6765,Mediatek,2048
OPPO,OPPO,CPH2179RU,OP4F2F,CPH2179,MT6765,Mediatek,2048
motorola,motorola,guamp_retailinn,guamp,moto g(9),SM6115,Qualcomm,4096
OPPO,OPPO,CPH2123,OP4C51L1,A93,MT6779p95,Mediatek,6144
vivo,vivo,2046E,2046,V2046,SM8250ac,Qualcomm,12288
OPPO,OPPO,CPH2009TR,OP4C2DL1,Reno3 Pro,SM7250,Qualcomm,12288
asus,asus,EU_I005D,ASUS_I005_1,ROG Phone 5,SM8350,Qualcomm,16384
OPPO,OPPO,PECT30,OP4E49,OPPO A53 5G,MT6853V/ZA,Mediatek,8192
LGE,lge,mmh4_fgn,mmh4,X4(2019),MT6762,Mediatek,3072
vivo,vivo,2061_RU,2061,V2061,SM7125,Qualcomm,8192
Sony,Sony,XQ-AS72,XQ-AS72,Xperia 5 II,SM8250,Qualcomm,8192
OPPO,OPPO,CPH1941,OP4B80L1,A9 2020,SM6125,Qualcomm,4096
vivo,vivo,2036M1,2036,V2031_21,SM6115,Qualcomm,8192
OPPO,OPPO,CPH1877RU,CPH1877,R17 Pro,SDM710,Qualcomm,6144
LGE,lge,phoenix_lgu_kr,phoenix_sprout,LG Q9 One,MSM8998,Qualcomm,4096
vivo,vivo,2041TC,2041,V2053,MT6833V/ZA,Mediatek,8192
google,google,caroline,caroline_cheets,Chromebook Pro,m3-6y30,Intel,4096
Sony,Sony,C6833_1274-8332,C6833,Xperia Z Ultra,MSM8974,Qualcomm,2048
OPPO,OPPO,CPH2089,OP4C87L1,Reno4 Pro 5G,SM7250,Qualcomm,12288
LENOVO,Lenovo,LenovoTB-J706F_TR,J706F,Lenovo Tab P11 Pro,SDM712,Qualcomm,6144
OPPO,OPPO,CPH2021,OP4B9B,CPH2021,MT6771,Mediatek,6144
OPPO,OPPO,CPH2179,OP4F2F,CPH2179,MT6765,Mediatek,2048
Sony,Sony,C6902_1276-3106,C6902,Xperia Z1,MSM8974,Qualcomm,2048
asus,asus,EU_I003D,ASUS_I003_1,ROG Phone 3,SM8250,Qualcomm,12288
vivo,vivo,2041ENC,2041,V2053,MT6833V/ZA,Mediatek,8192
motorola,motorola,capri_retail,capri,moto g(10),SM4350,Qualcomm,4096
OPPO,OPPO,CPH2021EEA,OP4B9B,CPH2021,MT6771,Mediatek,6144
vivo,vivo,2061,2061,V2061,SM7125,Qualcomm,8192
OPPO,OPPO,CPH1917RU,OP47DD,Reno,SDM710,Qualcomm,8192
vivo,vivo,2061N,2061,V2061,SM7125,Qualcomm,8192
OPPO,OPPO,CPH2125,OP4C51L1,Reno4 Lite,MT6779p95,Mediatek,6144
realme,realme,RMX3081,RMX3081L1,realme 8 Pro,SM7125,Qualcomm,6144
vivo,vivo,2015M,2015,vivo 2015_21,MT6765,Mediatek,3072
motorola,motorola,odessa_retailr,odessa,moto g(9) plus,SM7150,Qualcomm,4096
vivo,vivo,2050TN,2050,V2050,MT6853V/TNZA,Mediatek,8192
vivo,vivo,2039T,2034,V2039,SDM439,Qualcomm,3072
OPPO,OPPO,CPH2127TR,OP4EFDL1,A53,SM4250,Qualcomm,4096
OPPO,OPPO,CPH1931EEA,OP4B79L1,A5 2020,SM6125,Qualcomm,3072
vivo,vivo,2050T,2050,V2050,MT6853V/TNZA,Mediatek,8192
motorola,motorola,hanoip_retail,hanoip,moto g40 fusion,SM7150,Qualcomm,4096
motorola,motorola,guam_retailr,guam,moto e(7) plus,SM4250,Qualcomm,4096
SHARP,SHARP,SH-S40P,VG2,AQUOS sense4 plus,SM7125,Qualcomm,8192
LENOVO,Lenovo,LenovoTB-X306X_RU,X306X,Lenovo Tab M10 HD (2nd Gen),MT8768T,Mediatek,2048
LENOVO,Lenovo,LenovoTB-X606XA_EEA,X606XA,Lenovo Smart Tab M10 FHD Plus with Amazon Alexa,MT8768A,Mediatek,4096
LENOVO,Lenovo,LenovoTB-X606X_EE,X606X,Lenovo Tab M10 FHD Plus,MT8768T,Mediatek,4096
motorola,motorola,liber_retailg,liber,motorola one fusion+,SM7150,Qualcomm,4096
vivo,vivo,1820_RU,1820,vivo 1820,MT6762,Mediatek,2048
HMD Global,Nokia,DoctorStrange_00EEA,DRSA_sprout,Nokia 3.4,SM4250,Qualcomm,3072
motorola,motorola,smith_retaile,smith,motorola razr 5G,SM7250,Qualcomm,8192
motorola,motorola,smith_retail,smith,motorola razr 5G,SM7250,Qualcomm,8192
LENOVO,Lenovo,LenovoTB-8505XS-EE,8505XS,Lenovo Smrat Tab M8,MT8766A,Mediatek,3072
Sony,Sony,XQ-BQ52_EEA,XQ-BQ52,Xperia 5 III,SM8350,Qualcomm,8192
LGE,lge,dh0lm,dh0lm,K22,QM215,Qualcomm,2048
LENOVO,Lenovo,LenovoTB-X606FA,X606FA,Lenovo Smart Tab M10 FHD Plus with Amazon Alexa,MT8768A,Mediatek,4096
OPPO,OPPO,CPH2173,OP4F57L1,Find X3 Pro,SM8350,Qualcomm,12288
vivo,vivo,2070,2034,V2070,SDM439,Qualcomm,3072
HMD Global,Nokia,Wolverine_00EEA,WVR_sprout,Nokia 2.4,MT6762,Mediatek,2048
motorola,motorola,guamp_retailn,guamp,moto g(9) play,SM6115,Qualcomm,4096
OPPO,OPPO,CPH2197,OP4F39L1,CPH2197,SM4350,Qualcomm,4096
HMD Global,Nokia,DoctorDoom_00RU,DRD,Nokia 5.4,SM6115,Qualcomm,4096
HMD Global,Nokia,Wolverine_00RU,WVR,Nokia 2.4,MT6762,Mediatek,2560
LGE,lge,mdh30lm,mdh30lm,K51,MT6762,Mediatek,3072
Sony,Sony,XQ-AS52_EEA,XQ-AS52,Xperia 5 II,SM8250,Qualcomm,8192
LGE,lge,phoenix_lao_com,phoenix_sprout,LG G7 One,MSM8998,Qualcomm,4096
OPPO,OPPO,CPH1921,OP4847L1,Reno 10x Room,SM8150,Qualcomm,8192
motorola,motorola,guamp_retailen,guamp,moto g(9) play,SM6115,Qualcomm,4096
LGE,lge,dh0lm_e,dh0lm,K22,QM215,Qualcomm,2048
OPPO,OPPO,CPH1921EEA,OP4847L1,Reno 10x Room,SM8150,Qualcomm,8192
vivo,vivo,1912_RU,1912,vivo 1912,SM8150P,Qualcomm,8192
LENOVO,Lenovo,LenovoTB-X606V_RU,X606V,Lenovo Tab M10 Plus,MT8768A,Mediatek,4096
LENOVO,Lenovo,LenovoTB-X606X_RU,X606X,Lenovo Tab M10 FHD Plus,MT8768T,Mediatek,4096
Sony,Sony,XQ-BE52_EEA,XQ-BE52,Xperia PRO-I,SM8350,Qualcomm,12288
vivo,vivo,1802_RU,1802,vivo 1802,MT6762,Mediatek,4096
OPPO,OPPO,CPH2303,OP4F39L1,A54 5G,SM4350,Qualcomm,4096
Zebra Technologies,Zebra,WT6300G_TR,WT63B0,Zebra Technologies WT6300,SDA660,Qualcomm,3072
Sony,Sony,C6806_GPe,C6806,Smartphone Z Ultra Google Play edition,MSM8974,Qualcomm,2048
HMD Global,Nokia,DoctorDoom_00FD,DRD_sprout,Nokia 5.4,SM6115,Qualcomm,4096
LENOVO,Lenovo,LenovoTB-8705F-RU,8705F,Lenovo Smart Tab M8,MT8768T,Mediatek,4096
Sony,Sony,C6943_1276-7030,C6943,Xperia Z1,MSM8974,Qualcomm,2048
OPPO,OPPO,CPH2121T2,OP4C51L1,A93,MT6779p95,Mediatek,6144
LGE,lge,mh3j_dcm_jp,L-01L,LG style2,SDM450,Qualcomm,4096
vivo,vivo,2036iC,2036,V2031,SM6115,Qualcomm,8192
vivo,vivo,2068,2034,V2068,SDM439,Qualcomm,3072
vivo,vivo,2066T,2050,V2066,MT6853V/TNZA,Mediatek,8192
LGE,lge,mdh40lm_fgn,mdh40lm,Q61,MT6765,Mediatek,4096
LENOVO,Lenovo,LenovoTB-J606L_EEA,J606L,Lenovo Tab P11,SDM660,Qualcomm,4096
vivo,vivo,2102,2034,V2102,SDM439,Qualcomm,3072
vivo,vivo,2036_TR,2036,V2035,SM6115,Qualcomm,8192
motorola,motorola,guamp_retail,guamp,moto g(9) play,SM6115,Qualcomm,4096
LGE,lge,meh15lm_fne,meh15lm,K42,MT6762,Mediatek,3072
realme,realme,RMX3195,RMX3195,realme C25s,MT6769,Mediatek,4096
motorola,motorola,guam_retaile,guam,moto e(7) plus,SM4250,Qualcomm,4096
LGE,lge,flashlmdd_lao_com,flashlmdd,LG V50 ThinQ,SM8150,Qualcomm,6144
OPPO,OPPO,CPH2239TR,OP4F2F,CPH2239,MT6765,Mediatek,2048
motorola,motorola,corfur_ge,corfur,moto g71 5G,SM6375,QTI,4096
OPPO,OPPO,CPH1919,OP4845,Reno 10x Zoom,SM8150,Qualcomm,8192
LENOVO,Lenovo,LenovoTB-8505XS-RU,8505XS,Lenovo Smrat Tab M8 ,MT8766A,Mediatek,3072
OPPO,OPPO,CPH1917EEA,OP47DDL1,Reno,SDM710,Qualcomm,8192
OPPO,OPPO,CPH2095,OP4EF3L1,CPH2095,SM6115,Qualcomm,4096
vivo,vivo,2040T,2040,V2040,SM6150,Qualcomm,8192
LGE,lge,mh5lm_xfn,mh5lm,X2 2019,MSM8917,Qualcomm,2048
motorola,motorola,nio_retaile,nio,moto g(100),SM8250,Qualcomm,8192
OPPO,OPPO,CPH2021RU,OP4B9B,CPH2021,MT6771,Mediatek,6144
motorola,motorola,corfur_g,corfur,moto g71 5G,SM6375,QTI,4096
OPPO,OPPO,CPH2081,OP4C7D,CPH2081,MT6765,Mediatek,3072
LGE,lge,mmh45lm_fne,mmh45lm,K50S,MT6762,Mediatek,3072
OPPO,OPPO,CPH2179TR,OP4F2F,CPH2179,MT6765,Mediatek,2048
vivo,vivo,2069,2034,V2069,SDM439,Qualcomm,3072
realme,realme,RMX3263,RED8D1,realme C21-Y,T610,Spreadtrum,4096
motorola,motorola,cebu_retailn,cebu,moto g(9) power,SM6115,Qualcomm,4096
OPPO,OPPO,CPH2127EEA,OP4EFDL1,A53,SM4250,Qualcomm,4096
